46115872,-2364,2192,16840,-337,-433,-2037
46120882,-2308,1912,16744,-849,27,-2112
46125891,-2344,1612,16536,-1114,499,-2141
46130895,-2416,1424,15952,-1095,1002,-2143
46135894,-2388,1140,15488,-1080,1305,-2197
46140902,-2524,796,14712,-895,1534,-2085
46145911,-2636,628,13884,-534,1545,-1951
46150911,-2748,616,13244,47,1285,-1753
46155911,-2948,804,12840,592,821,-1513
46160911,-2872,1004,12808,934,353,-1300
46165911,-2844,1260,12956,1192,-198,-1167
46170911,-2768,1492,13576,1477,-554,-1094
46175911,-2716,1856,14048,1711,-830,-1075
46180911,-2700,2212,14656,1803,-907,-1127
46185911,-2728,2604,15440,1600,-864,-1273
46190911,-2788,2896,16048,1217,-714,-1438
46195911,-2768,3044,16500,539,-483,-1670
46200911,-2692,3120,16792,-196,-102,-1959
46205912,-2688,2804,16924,-787,391,-2308
46210920,-2824,2496,16884,-1104,936,-2624
46215930,-2668,2200,16492,-1245,1486,-2946
46220931,-2708,1960,15860,-1279,1939,-3183
46225936,-2788,1580,15072,-1254,2209,-3377
46230940,-2964,1252,14500,-1087,2330,-3634
46235944,-2852,1032,13616,-1155,2204,-3713
46240948,-2824,680,12852,-1007,1861,-3650
46245951,-2824,256,12548,-719,1402,-3499
46250955,-2816,-48,12348,-363,1034,-3303
46255959,-2796,-48,12296,28,613,-3034
46260963,-2768,76,12348,530,240,-2692
46265967,-2696,248,12364,1079,-134,-2416
46270971,-2760,876,12736,1422,-517,-2127
46275975,-2864,1452,13020,1423,-972,-1889
46280978,-2684,1912,13480,1306,-1329,-1837
46285983,-2592,2204,14088,1179,-1581,-1837
46290986,-2564,2132,14748,1008,-1625,-1868
46295990,-2460,1980,15192,907,-1528,-1818
46300994,-2528,1812,15596,923,-1296,-1862
46305998,-2732,1856,15964,454,-1068,-1949
46311002,-2824,1820,16212,-336,-681,-2100
46316006,-2764,1680,16384,-898,-87,-2301
46321010,-2652,1344,16024,-1097,460,-2488
46326014,-2680,988,15452,-1088,996,-2576
46331014,-2764,648,14600,-931,1288,-2581
46336026,-2968,280,13624,-532,1425,-2535
46341030,-3160,208,12968,-18,1363,-2412
46346034,-3112,216,12520,391,1115,-2277
46351038,-3252,424,12252,736,779,-2125
46356045,-3144,668,12420,932,226,-1997
46361053,-3192,992,12740,1103,-275,-1932
46366056,-3132,1184,13216,1142,-627,-1979
46371054,-3164,1436,14072,970,-906,-2009
46376062,-3012,1628,14944,836,-911,-2145
46381070,-2980,1852,15692,631,-821,-2302
46386070,-2940,2128,16304,318,-504,-2524
46391070,-2768,2212,16668,-23,-98,-2753
46396074,-2824,2100,16952,-508,320,-2973
46401074,-2904,1972,16996,-1022,848,-3187
46406067,-2956,1708,16744,-1360,1346,-3344
46411071,-2888,1496,16224,-1478,1836,-3520
46416085,-2908,1240,15392,-1450,2076,-3704
46421092,-2840,804,14576,-1340,2160,-3844
46426095,-2924,200,13948,-1095,1993,-3845
46431099,-2916,-320,13168,-565,1751,-3654
46436103,-2852,-612,12916,45,1290,-3354
46441107,-3000,-704,12648,612,640,-3038
46446111,-2864,-664,13024,1009,22,-2679
46451115,-2956,-632,13700,1241,-429,-2281
46456118,-3008,-264,14564,1366,-656,-1914
